pcap,0
8984360298417145078_twitch,2
7845855694041708412_youtube,3
102290434608605492_amazon,0
8693291013590487189_youtube,3
5676487992564715098_twitch,2
2081612937496003748_youtube,3
7504911533604719130_amazon,0
5498609162719162409_amazon,0
5204245748304352734_youtube,3
2220609695948324630_youtube,3
8449141910958056370_amazon,0
2564785006755976028_amazon,0
3846790220754562602_youtube,3
16082778205060336_youtube,3
4290856150119749391_amazon,0
6874604584930692372_twitch,2
5573621748454750037_netflix,1
1372463725308305415_twitch,2
4898502118207504406_youtube,3
4220248178125065840_youtube,3
7377504040103104596_netflix,1
4465666138282556334_amazon,0
5432696387213213518_youtube,3
5548162913395762228_youtube,3
37105802339990978_twitch,2
1247250596787951710_youtube,3
1191485041324820285_youtube,3
1623766010606635081_netflix,1
5836687128456058303_amazon,0
5161397487907240647_youtube,3
4352826843599912786_twitch,2
3434159809448105245_netflix,1
3865767553015224692_youtube,3
1927425264210524259_amazon,0
2049353713132257233_youtube,3
57914070548520136_netflix,1
1013823624854533240_youtube,3
1231743330616392256_youtube,3
5230887961941763898_youtube,3
7383589265007327923_netflix,1
2501829885617320064_netflix,1
1745109084908022697_twitch,2
4222113863659137485_amazon,0
5972570420964638509_netflix,1
2995064692706295829_amazon,0
479765291328283764_twitch,2
5060510635121148612_youtube,3
2654131123680934758_youtube,3
4400992694067870386_netflix,1
377088915130316494_netflix,1
4133427497935608568_netflix,1
9006779789177821937_netflix,1
8405198757522924721_youtube,3
8020382194008162008_twitch,2
6552022648496840309_netflix,1
2333711281557544318_netflix,1
5591157360814429027_netflix,1
2367101216341532557_amazon,0
3061016328428659852_amazon,0
7129188474400999129_youtube,3
1297494828655214556_twitch,2
2622251422404148957_netflix,1
2288584033523255676_youtube,3
2111882941791316999_netflix,1
5232788682817635016_amazon,0
325103785174153908_netflix,1
9080451290122655898_youtube,3
3673183838714965078_youtube,3
146412568185548417_youtube,3
608424224990425777_netflix,1
5928644340259409983_youtube,3
7535778946402726513_amazon,0
6818470242132443574_youtube,3
8460165771191177460_youtube,3
5663945164680834082_youtube,3
7979666397204590176_youtube,3
4099284971800520896_netflix,1
6854611558714798231_twitch,2
1085896725222720947_netflix,1
5100363305295412375_youtube,3
3695368272354080832_youtube,3
1928384165331854509_twitch,2
7012646421179161_netflix,1
4754508006321008026_amazon,0
4766800064640001561_youtube,3
7205677020444356782_youtube,3
6971617713871996533_netflix,1
3253678389261398205_twitch,2
4780416698369301070_netflix,1
9163726124246371512_netflix,1
3325454657078229304_twitch,2
1732264794882828981_youtube,3
5596687786749215512_twitch,2
2749761754420036642_netflix,1
1771957131802680335_netflix,1
4646927171502562574_youtube,3
2308327418166754877_netflix,1
8007087228223495391_youtube,3
2429340802643463745_twitch,2
976701285096144371_netflix,1
8867487075462093131_netflix,1
